,Disease,combined_symptoms
1022,Peripheral nerve tumors,swell lump under the skin pain tingle numbness weakness loss function the affected area dizziness loss balance the symptom peripheral nerve tumor develop from direct effect the main nerve from the tumor press nearby nerve blood vessel tissue the tumor grows may more likely cause symptom although tumor size doesn always determine effect
1025,Peritonitis,belly pain tenderness bloating feel fullness the abdomen fever upset stomach and vomit loss appetite diarrhea reduce urine thirst not able pas stool gas feel tire confusion symptom peritonitis include
1027,Persistent post-concussive symptoms (Post-concussion syndrome),headache dizziness fatigue irritability anxiety trouble fall asleep sleep too much loss concentration and memory ring the ear blurry vision noise and light sensitivity rarely decrease taste and smell persistent post concussive symptom include
1031,Schizoid personality disorder,want alone and activity alone not want enjoy close relationship feel little any desire for sexual relationship take pleasure few activity any find hard express your emotion and react may lack humor not interested others you may cold toward others may lack the drive that make you want reach goal not react praise criticism from others you have schizoid personality disorder likely that you
1032,Schizotypal personality disorder,be loner and lack close friend outside the immediate familyflat emotion limited inappropriate emotional responsespersistent and excessive social anxietyincorrect interpretation event such feel that something that actually harmless inoffensive have direct personal meaningpeculiar eccentric unusual think belief mannerismssuspicious paranoid thought and constant doubt about the loyalty othersbelief special power such mental telepathy superstitionsunusual perception such sense absent person presence have illusionsdressing peculiar way such appear unkempt wear oddly match clothespeculiar style speech such vague unusual pattern speak ramble oddly during conversationsschizotypal personality disorder typically include five more these sign and symptom
1033,Personality disorders,lack trust and suspicious others and the reason for their action believe that others be try harm with reason feel this way doubt the loyalty others not willing trust others hesitates confide others for fear that others will use that information against them take innocent remark situation that be not threaten personal insult attack becomes angry hostile what be believe slight insult have habit hold grudge often suspect that spouse sexual partner unfaithful with reason feel this way some case you may not know that you have personality disorder that because how you think and behave seem natural you you also may think others be responsible for your challenge
1037,Phenylketonuria (PKU),musty odor the breath skin urine cause too much phenylalanine the bodynervous system neurological problem that may include seizuresskin rash such eczemalighter skin hair and eye color than family member because phenylalanine can transform into melanin the pigment responsible for hair and skin toneunusually small head size microcephaly hyperactivityintellectual disabilitydelayed developmentbehavioral emotional and social problemsmental health disordersnewborns with pku initially don have any symptom however without treatment baby usually develop sign pku within few month
1038,Pheochromocytoma,high blood pressureheadacheheavy sweatingrapid heartbeattremorspallorshortness breathpanic attack type symptomssigns and symptom pheochromocytoma often include
1042,Sacral dimple,spina bifida very mild form this condition call spina bifida occulta occurs when the spine doesn close properly around the spinal cord but the cord remains within the spinal canal most case spina bifida occulta cause symptom and doesn need treatment tether cord syndrome the spinal cord normally hang freely within the spinal canal tether cord syndrome disorder that occurs when tissue attach the spinal cord limit it movement sign and symptom may include weakness numbness the leg and bladder bowel incontinence sacral dimple indentation pit the skin the low back usually just above the crease between the buttock most sacral dimple be small and shallow
1044,Pinched nerve,numbness decrease sensation the area supply the nervesharp ache burning pain which may radiate outwardtingling pin and needle sensation paresthesia muscle weakness the affected areafrequent feel that foot hand have fall asleep pinch nerve sign and symptom include
1047,Pituitary tumors,headache eye problem due pressure the optic nerve especially loss side vision also call peripheral vision and double vision pain the face sometimes include sinus pain ear pain droop eyelid seizure nausea and vomit not all pituitary tumor cause symptom sometimes these tumor be found during image test such mri ct scan that do for another reason they don cause symptom pituitary tumor usually don need treatment
1048,Polycystic kidney disease,high blood pressureback side painblood your urinea feel fullness your abdomenincreased size your abdomen due enlarge kidneysheadacheskidney stoneskidney failureurinary tract kidney infectionspolycystic kidney disease symptom can include
1050,Plague,sudden high fever and chill headache tiredness not feel well general weakness muscle ache rarely skin sore there be three type plague the symptom vary for each type
1053,Plantar warts,small rough growth the bottom your foot usually the base the toe the ball heelon brown and black skin the growth may lighter than unaffected skinhard thicken skin callus over spot the skin where wart have grown inwardblack pinpoint which be small clot blood vessel commonly call wart seedsa cluster growth the sole the foot mosaic wart growth that interrupt the normal line and ridge the skin your footpain tenderness when walk standingplantar wart sign and symptom include
1054,Pleurisy,chest pain that worsens when you breathe cough sneezeshortness breath often from try limit breathing and outcough only some casesfever only some casessigns and symptom pleurisy might include
1056,Primary lateral sclerosis (PLS),stiffness weakness and muscle spasm spasticity your leg rarely start one leg and eventually progress your arm hand tongue and jawslowed movementtripping clumsiness and difficulty with balancehand clumsinesshoarseness well slow slur speech and droolingdifficulties with chew and swallowingsometimes frequent rapid and intense shift emotion mood lability rarely breathing problem and bladder problem late the diseasesigns and symptom primary lateral sclerosis usually take year progress and generally begin the leg rarely pls begin your tongue hand and then progress down your spinal cord your leg however the disease have highly variable effect from person person sign and symptom may include
1057,Pneumonia,chest pain when you breathe coughconfusion change mental awareness adult age and old cough which may produce phlegmfatiguefever sweat and shake chillslower than normal body temperature adult old than age and people with weak immune system nausea vomit diarrheashortness breaththe sign and symptom pneumonia vary from mild severe depend factor such the type germ cause the infection and your age and overall health mild sign and symptom often be similar those cold flu but they last longer
1058,Pneumonitis,shortness breathcoughfatigueloss appetiteunintentional weight lossthe most common symptom pneumonitis shortness breath which may accompany dry cough pneumonitis undetected left untreated you may gradually develop chronic pneumonitis which can result scar fibrosis the lung
1060,Poison ivy rash,rednessitchingswellingblistersdifficulty breathing you inhale the smoke from burning poison ivysigns and symptom poison ivy rash include
1061,Polio,feverheadachemuscle achessore throatstomachacheloss appetitenauseavomitingthe basic unit communication the nervous system the nerve cell neuron each nerve cell consists the cell body which include the nucleus major branching fiber axon and numerous small branching fiber dendrite the myelin sheath fatty material that cover insulates and protects nerve the brain and spinal cord
1064,Polyhydramnios,shortness breath the inability breatheswelling the low extremity and abdominal walluterine discomfort contractionsfetal malposition such breech presentationpolyhydramnios symptom result from pressure be exert within the uterus and nearby organ
1065,Polymyositis,difficulty swallow the muscle your esophagus be affected you may have problem swallow dysphagia which turn may cause weight loss and malnutrition aspiration pneumonia difficulty swallow may also cause you breathe food liquid include saliva into your lung aspiration which can lead pneumonia breathing problem your chest muscle be affected the disease you may experience breathing problem such shortness breath severe case respiratory failure the muscle weakness associate with polymyositis involves the muscle closest the trunk such those your hip thigh shoulder upper arm and neck the weakness affect both the left and right side your body and tends gradually worsen
1072,Porphyria,severe pain the belly chest leg back digestive problem such constipation nausea and vomit muscle pain tingle numbness weakness paralysis red brown urine mental change such anxiety hallucination mental confusion rapid irregular heartbeat you can feel call palpitation breathing problem high blood pressure seizure symptom can vary widely type porphyria and how severe the symptom be symptom also can vary among people with the condition some people with gene change that cause porphyria never have any symptom
1075,Posterior cortical atrophy,reading spell math drive get dress tell the difference between object that be move and those that be still judging how far away object be use everyday object tool identify left from right posterior cortical atrophy symptom vary among people symptom also can vary over time they tend gradually get bad common symptom include have trouble with
1076,Posterior vaginal prolapse (rectocele),soft bulge tissue the vagina that might come through the opening the vaginatrouble have bowel movementfeeling pressure fullness the rectuma feel that the rectum have not completely empty after bowel movementsexual concern such feel embarrass sense looseness the tone the vaginal tissuea small posterior vaginal prolapse rectocele might cause symptom
1080,Post-traumatic stress disorder (PTSD),recurrent unwanted distress memory the traumatic eventreliving the traumatic event be happen again flashback upset dream nightmare about the traumatic eventsevere emotional distress physical reaction something that reminds you the traumatic eventpost traumatic stress disorder symptom may start within one month traumatic event but sometimes symptom may not appear until year after the event these symptom cause significant problem social work situation and relationship they can also interfere with your ability go about your normal daily task
1081,Post-vasectomy pain syndrome,pain and tenderness the scrotumpressure pain after ejaculationdull ache one both testiclespain and tenderness the site the vasectomyswelling the small c shape tube behind the testicle where sperm be store epididymis pain with sexhaving some discomfort after vasectomy common but men with pvps have pain that never seem get well after the procedure
1082,Pouchitis,book mayo clinic family health book th editionnewsletter mayo clinic health letter digital editionsigns and symptom pouchitis can include diarrhea abdominal pain joint pain cramp and fever other sign and symptom include increase number bowel movement nighttime stool leakage difficulty control bowel movement and strong urge have bowel movement
1083,Prader-Willi syndrome,poor muscle tone primary sign during infancy poor muscle tone hypotonia baby may rest with their elbow and knee loosely extend instead fix and they may feel floppy like rag doll when they held distinct facial feature child may born with almond shape eye narrow the head the temple turn down mouth and thin upper lip poor suck reflex infant may have poor suck reflex due decrease muscle tone poor suck make feed difficult and can result failure thrive generally poor responsiveness baby may seem unusually tire respond poorly stimulation have hard time wake have weak cry underdeveloped genitals male may have small penis and scrotum the testicle may small not descend from the abdomen into the scrotum cryptorchidism female the clitoris and labium may small sign and symptom prader willi syndrome can vary among individual symptom may slowly change over time from childhood adulthood
1087,Wolff-Parkinson-White (WPW) syndrome,rapid flutter pound heartbeat palpitation chest paindifficulty breathingdizziness lightheadednessfaintingfatigueshortness breathanxietythe most common sign wolff parkinson white wpw syndrome heart rate great than beat minute
1088,Premature birth,small size with head that large compare with the body feature that be sharper and less round than full term baby feature due lack cell that store fat fine hair that cover much the body low body temperature mainly right after birth the delivery room trouble breathing feed problem your baby may have very mild symptom premature birth more serious health problem
1089,Primary ovarian insufficiency,irregular skip period which might present for year develop after pregnancy after stop birth control pillsdifficulty get pregnanthot flashesnight sweatsvaginal drynessdry eyesirritability difficulty concentratingdecreased sexual desiresigns and symptom primary ovarian insufficiency be similar those menopause estrogen deficiency they include
1092,Presbyopia,tendency hold reading material farther away make the letter clearerblurred vision normal reading distanceeyestrain headache after reading do close workpresbyopia develops gradually you may first notice these sign and symptom after age
1093,Prescription drug abuse,opioidsused treat pain such medicine contain oxycodone oxycontin percocet and those contain hydrocodone norco anti anxiety medicine sedative and hypnoticsused treat anxiety and sleep disorder such alprazolam xanax diazepam valium and zolpidem ambien stimulantsused treat attention deficit hyperactivity disorder adhd and certain sleep disorder such methylphenidate ritalin concerta others dextroamphetamine amphetamine adderall xr mydayis and dextroamphetamine dexedrine sign and symptom prescription drug abuse depend the specific drug because their mind alter property the most misuse prescription drug be
1096,Preterm labor,regular frequent sensation abdominal tighten contraction constant low dull backachea sensation pelvic low abdominal pressuremild abdominal crampsvaginal spot light bleedingpreterm rupture membrane gush continuous trickle fluid after the membrane around the baby break tearsa change type vaginal discharge watery mucus like bloodysigns and symptom preterm labor include
1098,Primary biliary cholangitis,fatigueitchy skinmore than half the people with primary biliary cholangitis not have any noticeable symptom when diagnose the disease may diagnose when blood test be do for other reason such routine test symptom eventually develop over the next year those who have symptom diagnosis typically have poorer outcome
1105,Progressive supranuclear palsy,loss balance while walk tendency fall backward can occur very early the disease inability aim your eye properly you may not able look downward experience blurring and double vision this difficulty with focus the eye can make some people spill food appear disinterested conversation because poor eye contact the characteristic sign and symptom progressive supranuclear palsy include
1110,Prostatitis,pain burning sensation when urinate dysuria difficulty urinate such dribble hesitant urinationfrequent urination particularly night nocturia urgent need urinatecloudy urineblood the urinepain the abdomen groin low backpain the area between the scrotum and rectum perineum pain discomfort the penis testiclespainful ejaculationfever chill muscle ache and other flu like symptom with acute bacterial prostatitis sign and symptom prostatitis can vary depend the type disorder they may include
1114,Pseudogout,swollenwarmseverely painfulpseudogout most commonly affect the knee less often affect the wrist and ankle when pseudogout attack occurs the affected joint be usually
1115,Psoriasis,patchy rash that varies widely how look from person person range from spot dandruff like scale major eruption over much the bodyrashes that vary color tend shade purple with gray scale brown black skin and pink red with silver scale white skinsmall scale spot commonly see child dry crack skin that may bleeditching burning sorenesscyclic rash that flare for few week month and then subsideplaque psoriasis the most common type psoriasis cause dry raise skin patch plaque cover with scale
1118,Pulmonary atresia,blue gray tone skin cyanosis fast breathing shortness breatheasily tire be fatiguedfeeding problemsif baby born with pulmonary atresia symptom will noticeable soon after birth sign and symptom might include
1125,Pyloric stenosis,vomit after feed the baby may vomit forcefully eject breast milk formula several foot away this know projectile vomit vomit might mild first but over time becomes more severe the pylorus opening narrow the vomit may sometimes contain blood persistent hunger baby who have pyloric stenosis often want eat soon after vomit stomach contraction you may notice wavelike contraction that ripple across your baby upper stomach area soon after feed but before vomit these contraction be part the digestive process know peristalsis the contraction be cause stomach muscle try force food through the narrow pylorus dehydration your baby might cry without tear become lethargic you might find yourself change few wet diaper diaper that aren wet you expect change bowel movement since pyloric stenosis prevents food from reach the intestine baby with this condition might constipate weight problem pyloric stenosis can keep baby from gain weight and sometimes can cause weight loss symptom pyloric stenosis usually appear within week after birth pyloric stenosis rare baby old than month
1126,Pyoderma gangrenosum,your age and sex the condition can affect anyone any age though more common between and year age have inflammatory bowel disease people with digestive tract disease such ulcerative colitis crohn disease be increase risk pyoderma gangrenosum have arthritis people with rheumatoid arthritis be increase risk pyoderma gangrenosum have blood disorder people with acute myelogenous leukemia myelodysplasia myeloproliferative disorder be increase risk pyoderma gangrenosum pyoderma gangrenosum usually start with small red bump your skin which may resemble spider bite within day this bump can develop into large painful open sore
1128,Radiation enteritis,home enteral nutritionthe symptom radiation enteritis include diarrhea nausea vomit and stomach cramp symptom occur because irritation the intestine from radiation therapy for cancer symptom usually go away several week after treatment end but sometimes they last longer radiation enteritis that go for longer can cause anemia and bowel obstruction
1130,Tachycardia,sensation race pound heartbeat flop the chest palpitation chest painfainting syncope lightheadednessrapid pulse rateshortness breathwhen the heart beat too fast may not pump enough blood the rest the body result the organ and tissue may not get enough oxygen
1132,Raynaud's disease,cold finger toe area skin that turn white then blue depend your skin color these color change may harder easy see numb prickly feel sting pain upon warm stress relief raynaud disease cause small artery that supply blood flow the skin narrow response cold stress the affected body part usually finger and toe might turn white then blue depend your skin color these color change may harder easy see the affected area may feel cold and numb until blood flow improves usually after warm
1137,Rectal prolapse,you can not control your bowel movement know fecal incontinence constipation loose stool leak blood mucus from the rectum feel that your rectum isn empty after bowel movement you have rectal prolapse you may notice reddish lump that come out the anus often while strain during bowel movement the lump may slip back inside the anus may continue see
1138,Rectovaginal fistula,injury during childbirth delivery related injury be the most common cause rectovaginal fistula injury include tear the perineum the skin between the vagina and the anus that extend the bowel infection fistula cause injury during childbirth may involve injury the anal sphincter the ring muscle the end the rectum that help hold stool inflammatory bowel disease the second most common cause rectovaginal fistula crohn disease and more rarely ulcerative colitis these inflammatory bowel disease cause swell and irritation the tissue line the digestive tract most people with crohn disease never develop rectovaginal fistula but have crohn disease do increase your risk the condition cancer radiation treatment the pelvic area cancerous tumor your rectum cervix vagina uterus anal canal can result rectovaginal fistula also radiation therapy for cancer these area can put you risk fistula cause radiation can form any time follow radiation treatment but most commonly form within the first two year surgery involve the vagina perineum rectum anus rare case prior surgery your low pelvic area such remove infect bartholin gland can cause fistula develop bartholin gland be found each side the vaginal opening and help keep the vagina moist the fistula may develop result injury during surgery leak infection that develops afterward complication from diverticulitis infection small bulge pouch your digestive tract call diverticulitis may cause the rectum large intestine stick the vagina and may lead fistula other cause rarely rectovaginal fistula may develop follow infection the skin around the anus vagina the most common symptom rectovaginal fistula passing gas stool from the vagina depend the fistula size and location you may have only minor symptom you may have significant problem with stool and gas leakage and keep the area clean
1139,Recurrent breast cancer,new lump your breast irregular area firmnesschanges the skin your breastskin inflammation area rednessnipple dischargesigns and symptom recurrent breast cancer vary depend where the cancer come back
1141,Vesicoureteral reflux,strong persistent urge urinatea burning sensation when urinatingthe need pas small amount urine frequentlycloudy urinefeverpain your side flank abdomenurinary tract infection commonly occur people with vesicoureteral reflux urinary tract infection uti doesn always cause noticeable sign and symptom though most people have some
1144,REM sleep behavior disorder,movement such kick punch arm flail jumping from bed response action fill violent dream such be chase defend yourself from attacknoises such talk laugh shout emotional outcry even cursingbeing able recall the dream you awaken during the episodewith rem sleep behavior disorder instead experience the normal temporary paralysis your arm and leg atonia during rem sleep you physically act out your dream
1145,Renal artery stenosis,high blood pressure that begin suddenly worsens without explanationhigh blood pressure that begin before age after age renal artery stenosis often doesn cause any sign symptom until advanced the condition may discover incidentally during test for something else your health care provider may also suspect problem you have
1149,Restless legs syndrome,sensation that begin while rest the sensation typically begin after you be lie down sit for extend time such car airplane movie theater relief with movement the sensation ofrlslessens with movement such stretch jiggling the leg pace walk worsen symptom the even symptom occur mainly night nighttime leg twitch rlsmay associate with another more common condition call periodic limb movement sleep which cause the leg twitch and kick possibly throughout the night while you sleep the chief symptom urge move the leg common accompany characteristic rls include
1151,Retinal diseases,see float speck cobwebsblurred distort straight line look wavy visiondefects the side visionlost visionmany retinal disease share some common sign and symptom these may include
1153,Retractile testicle,the testicle may move hand from the groin into the scrotum and won immediately retreat the groin the testicle might spontaneously appear the scrotum and remain there for time the testicle might spontaneously disappear again for time testicle form the abdomen during fetal development during the final month development the testicle gradually descend into the scrotum this descent isn complete birth the testicle usually descends within few month your son have retractile testicle the testicle originally descend should but doesn remain place
1154,Reye's syndrome,diarrhea rapid breathing reye syndrome child blood sugar usually drop while level ammonia and acidity the blood rise the liver also may swell and fat may build swell may occur the brain this can cause seizure convulsion loss consciousness
1155,Rhabdomyosarcoma,headachebulging swell the eyesbleeding the nose throat earssigns and symptom rhabdomyosarcoma depend where the cancer locate
1156,Rheumatic fever,feverpainful and tender joint most often the knee ankle elbow and wristspain one joint that migrates another jointred hot swollen jointschest painfatigueflat slightly raise painless rash with rag edgeheart murmurjerky uncontrollable body movement sydenham chorea most often the hand foot and faceoutbursts unusual behavior such cry inappropriate laugh that accompanies sydenham choreasmall painless bump beneath the skinrheumatic fever symptom result from inflammation the heart joint skin central nervous system there may few symptom several symptom can change during the course the disease the onset rheumatic fever usually occurs about week after strep throat infection
1161,Tinnitus,buzzingroaringclickinghissinghummingtinnitus most often described ring the ear even though external sound present however tinnitus can also cause other type phantom noise your ear include
1165,Rosacea,facial blushing flush rosacea can cause persistent blushing flush the central part your face this sign the condition may difficult see brown and black skin visible vein small blood vessel your nose and cheek break and become visible spider vein swollen bump many people with rosacea also develop pimple their face that resemble acne these bump sometimes contain pu burning sensation the skin the affected area may feel hot and tender eye problem many people with rosacea also experience dry irritated swollen eye and eyelid this know ocular rosacea some people the eye symptom precede the skin symptom enlarge nose over time rosacea can thicken the skin the nose cause the nose appear bulbous rhinophyma this occurs more often men than woman over time rosacea can thicken the skin the nose cause the nose appear bulbous rhinophyma this occurs more often men than woman
1166,Rotator cuff injury,described dull ache deep the shoulderdisturb sleepmake difficult comb your hair reach behind your backbe accompany arm weaknessthe pain associate with rotator cuff injury may
1168,Rumination syndrome,effortless regurgitation typically within minute eatingabdominal pain pressure relieve regurgitationa feel fullnessbad breathnauseaunintentional weight lossrumination syndrome isn usually associate with retch
1171,Ruptured spleen,pain the upper left stomach tenderness when you touch the upper left stomach left shoulder pain confusion lightheadedness dizziness sign and symptom rupture spleen include
1173,Sacroiliitis,sleep sit for long time stand long time have more weight one leg than the other stair climb run take large step when move forward the pain sacroiliitis most often occurs the buttock and low back also can affect the leg groin and even the foot the pain can improve with movement the follow can make sacroiliitis pain bad
1174,Salivary gland tumors,lump swell near your jaw your neck mouthnumbness part your facemuscle weakness one side your facepersistent pain the area salivary glanddifficulty swallowingtrouble opening your mouth widelysigns and symptom salivary gland tumor may include
1175,Sarcoidosis,fatigueswollen lymph nodesweight losspain and swell joint such the anklessigns and symptom sarcoidosis vary depend which organ be affected sarcoidosis sometimes develops gradually and produce symptom that last for year other time symptom appear suddenly and then disappear just quickly many people with sarcoidosis have symptom the disease may discover only when chest x ray do for another reason
1176,Sarcoma,lump that can felt through the skin that may may not painfulbone paina broken bone that happens unexpectedly such with minor injury injury allabdominal painweight losssigns and symptom sarcoma include
1179,Scabies,itch often severe and usually bad nightthin wavy tunnel make tiny blister bump the skinscabies symptom include
1180,Spontaneous coronary artery dissection (SCAD),chest paina rapid heartbeat fluttery feel the chestpain the arm shoulder back jawshortness breathsweatingunusual extreme tirednessnauseadizzinesssymptoms scad can include
1182,Schizoaffective disorder,delusion have false fix belief despite evidence the contraryhallucinations such hearing voice see thing that aren thereimpaired communication and speech such be incoherentbizarre unusual behaviorsymptoms depression such feel empty sad worthlessperiods manic mood with increase energy and decrease need for sleep over several day and behavior that be out characterimpaired occupational academic and social functioningproblems with manage personal care include cleanliness and physical appearanceschizoaffective disorder symptom may vary from person person people with the condition experience psychotic symptom such hallucination delusion well symptom mood disorder either bipolar type episode mania and sometimes depression depressive type episode depression
1184,Schizophrenia,delusion these be false belief that be not base reality for example you think that you be harm harass certain gesture comment be direct you you have exceptional ability fame another person love with you major catastrophe about occur delusion occur most people with schizophrenia hallucination these usually involve see hearing thing that don exist yet for the person with schizophrenia they have the full force and impact normal experience hallucination can any the sens but hearing voice the most common hallucination disorganize think speech disorganize think infer from disorganize speech effective communication can impaired and answer question may partially completely unrelated rarely speech may include put together meaningless word that can understood sometimes know word salad extremely disorganize abnormal motor behavior this may show number way from childlike silliness unpredictable agitation behavior isn focus goal hard task behavior can include resistance instruction inappropriate bizarre posture complete lack response useless and excessive movement negative symptom this refers reduce lack ability function normally for example the person may neglect personal hygiene appear lack emotion doesn make eye contact doesn change facial expression speaks monotone also the person may lose interest everyday activity socially withdraw lack the ability experience pleasure schizophrenia involves range problem with think cognition behavior and emotion sign and symptom may vary but usually involve delusion hallucination disorganize speech and reflect impaired ability function symptom may include
1189,Spinal cord injury,complete all feel sensory and all ability control movement motor function be lose below the spinal cord injury your injury call complete incomplete you have some motor sensory function below the affected area your injury call incomplete there be vary degree incomplete injury paralysis the low half the body call paraplegia paralysis below the neck include both arm and leg call quadriplegia
1190,Sciatica,sudden severe pain the low back leg and numbness muscle weakness legpain after violent injury such traffic accidenttrouble control bowel bladdersciatica pain can almost anywhere along the nerve pathway especially likely follow path from the low back the buttock and the back thigh and calf
1191,Scleroderma,heartburndifficulty swallowingbloatingdiarrheaconstipationfecal incontinencescleroderma sign and symptom vary from person person depend which part the body be affected
1193,Sclerosing mesenteritis,mesenterysymptoms sclerosing mesenteritis include pain your belly vomit bloating diarrhea and fever sometimes people don have any symptom
1197,Scorpion sting,pain which can intensenumbness and tinglingslight swellingwarmthsigns and symptom the site scorpion sting may include
1198,Scrotal masses,unusual lump sudden pain dull ache feel heaviness the scrotum pain that spread all over the groin stomach area low back tender swollen harden testicle epididymis ep ih do uh miss the epididymis the soft comma shape tube above and behind the testicle that store and transport sperm swell the scrotum change color the skin the scrotum upset stomach vomit the male reproductive system make store and move sperm testicle produce sperm fluid from the seminal vesicle and prostate gland combine with sperm make semen the penis ejaculate semen during sexual intercourse
1206,Tonic-clonic (grand mal) seizure,tonic phase loss consciousness occurs the muscle suddenly contract and cause the person fall down this phase tends last about second clonic phase the muscle go into rhythmic contraction they alternately flex and relax convulsion usually last minute less tonic clonic seizure have two stage
1208,Temporal lobe seizure,sudden sense fear joy feel that what happen have happen before know deja vu sudden strange odor taste rise sensation the belly similar be roller coaster unusual sensation know aura may happen before temporal lobe seizure aura act warn not everyone who have temporal lobe seizure have aura and not everyone who have aura remembers them
1209,Seizures,temporary confusion star spell jerking movement the arm and leg that can control loss consciousness awareness cognitive emotional change they may include fear anxiety feel that you already live this moment know deja vu symptom vary base the type seizure they also can range from mild severe seizure symptom may include
1212,Separation anxiety disorder,recurrent and excessive distress about anticipate be away from home love onesconstant excessive worry about lose parent other love one illness disasterconstant worry that something bad will happen such be lose kidnap cause separation from parent other love onesrefusing away from home because fear separationnot want home alone and without parent other love one the housereluctance refuse sleep away from home without parent other love one nearbyrepeated nightmare about separationfrequent complaint headache stomachache other symptom when separation from parent other love one anticipatedseparation anxiety disorder diagnose when symptom be excessive for the developmental age and cause significant distress daily function symptom may include
1217,Sexually transmitted diseases (STDs),sore bump the genitals the oral rectal areapainful burning urinationdischarge from the penisunusual odorous vaginal dischargeunusual vaginal bleedingpain during sexsore swollen lymph node particularly the groin but sometimes more widespreadlower abdominal painfeverrash over the trunk hand feetstds stis can have range sign and symptom include symptom that why they may go unnoticed until complication occur partner diagnose
1218,Shaken baby syndrome,extreme fussiness irritabilitydifficulty stay awakebreathing problemspoor eatingvomitingpale bluish skinseizuresparalysiscomashaken baby syndrome symptom and sign include
1220,Shigella infection,diarrhea often contain blood mucus stomach pain crampsfevernausea vomitingsigns and symptom shigella infection usually begin day two after contact with shigella but may take week develop sign and symptom may include
1221,Short bowel syndrome,diarrheagreasy foul smell stoolsfatigueweight lossmalnutritionswelling edema the low extremitiescommon sign and symptom short bowel syndrome may include
1226,Sjogren's syndrome,dry eye your eye might burn itch feel gritty there sand them dry mouth your mouth might feel like full cotton make difficult swallow speak there be three pair major salivary gland parotid sublingual and submandibular each gland have it own tube duct lead from the gland the mouth
1231,Sleep apnea,loud snore episode which you stop breathing during sleep which would report another person gasp for air during sleep awaken with dry mouth morning headache difficulty stay asleep know insomnia excessive daytime sleepiness know hypersomnia difficulty pay attention while awake irritability the symptom obstructive and central sleep apnea overlap sometimes make difficult determine which type you have the most common symptom obstructive and central sleep apnea include
1235,Sleep disorders,book mayo clinic family health book th editionnewsletter mayo clinic health letter digital editionsymptoms sleep disorder include be very sleepy during the daytime and have trouble fall asleep night some people may fall asleep inappropriate time such while drive other symptom include breathing unusual pattern feel uncomfortable urge move while you be try fall asleep unusual bothersome movement experience during sleep be also possible have irregular sleep and wake cycle another symptom sleep disorder
1236,Sleep terrors (night terrors),begin with frighten scream shoutsit bed and appear frightenedstare wide eyedsweat breathe heavily and have race pulse flush face and dilate pupilskick and thrashbe hard awaken and confuse awakenedbe inconsolablehave little memory the event the next morningpossibly get out bed and run around the house have aggressive behavior block restrainedsleep terror differ from nightmare the dreamer nightmare wake from the dream and may remember detail but person who have sleep terror episode remains asleep child usually don remember anything about their sleep terror the morning adult may recall dream fragment they have during the sleep terror
1240,Sleepwalking,get out bed and walk aroundsit bed and open his her eyeshave glaze glassy eyed expressionnot respond communicate with othersbe difficult wake during episodebe disorient confuse for short time after be awakenednot remember the episode the morninghave problem function during the day because disturbed sleephave sleep terror addition sleepwalkingsleepwalking usually occurs early the night often one two hour after fall asleep unlikely occur during nap sleepwalk episode can occur rarely often and episode generally last several minute but can last longer
1243,Small bowel cancer,abdominal painyellowing the skin and the white the eye jaundice feel unusually weak tirednauseavomitinglosing weight without tryingblood the stool which might appear red blackwatery diarrheaskin flushingsigns and symptom small bowel cancer include
1244,Small bowel prolapse (enterocele),pull sensation your pelvis that eas when you lie downa feel pelvic fullness pressure painlow back pain that eas when you lie downa soft bulge tissue your vaginavaginal discomfort and painful intercourse dyspareunia mild small bowel prolapse may produce sign symptom however you have significant prolapse you might experience
1247,Smallpox,fevermuscle achesheadachesevere fatiguesevere back painvomiting sometimesthese be smallpox sore the skin this photograph be take bangladesh
1248,Snoring,witness breathing pause during sleepexcessive daytime sleepinessdifficulty concentratingmorning headachessore throat upon awakeningrestless sleepgasping choke nighthigh blood pressurechest pain nightyour snore loud disrupt your partner sleepin child poor attention span behavioral issue poor performance schoolsnoring often associate with sleep disorder call obstructive sleep apnea osa not all snorer have osa but snore accompany any the follow symptom may indication see doctor for far evaluation for osa
1250,Soft palate cancer,bleedingdifficulty swallowingdifficulty speakingbad breathmouth painsores your mouth that won healloose teethpain when you swallowweight lossear painswelling your neck that may hurtwhite patch your mouth that won go awaysome sign and symptom soft palate cancer can include the follow
1252,Somatic symptom disorder,specific sensation such pain shortness breath more general symptom such fatigue weaknessunrelated any medical cause that can identify related medical condition such cancer heart disease but more significant than what usually expecteda single symptom multiple symptom vary symptomsmild moderate severesymptoms somatic symptom disorder may
1254,Specific phobias,situation such airplane drive enclose space go school nature such thunderstorm height the dark animal insect such dog snake spider blood shot injury such needle accident medical procedure others such choke throw loud noise clown specific phobia involves strong last fear certain object situation that much great than the actual risk there be many type phobia common have specific phobia about more than one object situation specific phobia also can happen along with other type anxiety disorder
1256,Spina bifida,spina bifida occulta typically there aren any sign symptom because the spinal nerve aren involve but you can sometimes see sign the newborn skin above the spinal problem include tuft hair small dimple birthmark sometimes these skin mark can sign underlie spinal cord issue that can discover withmrior spinal ultrasound newborn meningocele this type may cause problem with bladder and bowel function myelomeningocele this severe type spina bifida the spinal canal remains open along several vertebra the low middle backboth the membrane and the spinal cord nerve protrude birth form sactissues and nerve usually be expose though sometimes skin cover the sacsigns and symptom spina bifida vary type and severity and also between individual
