Disease,Description
Pelvic organ prolapse,"When the muscles and ligaments supporting a woman's pelvic organs weaken, the pelvic organs can drop lower in the pelvis, creating a bulge in the vagina (prolapse). Women most commonly develop pelvic organ prolapse years after childbirth, after a hysterectomy or after menopause. If you have symptoms, such as a feeling of pressure in your pelvic area, see your health care provider."
Uterine prolapse,"Supporting ligaments and other connective tissues hold the uterus in place. When these supportive tissues stretch and weaken, the uterus can move out of its original place down into the vagina. This is called a prolapsed uterus."
Pemphigus,"Pemphigus is a rare skin disorder characterized by blistering of your skin and mucous membranes. The most common type is pemphigus vulgaris, which involves painful sores and blisters on your skin and in your mouth.
"
Peptic ulcer,"A peptic ulcer is a sore on the lining of your stomach, small intestine or esophagus. A peptic ulcer in the stomach is called a gastric ulcer. A duodenal ulcer is a peptic ulcer that develops in the first part of the small intestine (duodenum). An esophageal ulcer occurs in the lower part of your esophagus."
Perimenopause,"Perimenopause means ""around menopause"" and refers to the time during which your body makes the natural transition to menopause, marking the end of the reproductive years. Perimenopause is also called the menopausal transition."
Peripheral nerve tumors,"Benign tumors can occur in nerves, muscle and bone. This illustration shows a schwannoma of the tibial nerve in the leg."
Peritonitis,Peritonitis is a serious condition that starts in the abdomen. That's the area of the body between the chest and the pelvis. Peritonitis happens when the thin layer of tissue inside the abdomen becomes inflamed. The tissue layer is called the peritoneum. Peritonitis usually happens due to an infection from bacteria or fungi.
Persistent post-concussive symptoms (Post-concussion syndrome),"Persistent post-concussive symptoms — also called post-concussion syndrome — occurs when symptoms of a mild traumatic brain injury last longer than expected after an injury. These symptoms may include headaches, dizziness, and problems with concentration and memory. They can last weeks to months."
Schizoid personality disorder,"Schizoid personality disorder is a condition where a person shows very little, if any, interest and ability to form relationships with other people. It's very hard for the person to express a full range of emotions."
Schizotypal personality disorder,"People with schizotypal personality disorder are often described as odd or eccentric and usually have few, if any, close relationships. They generally don't understand how relationships form or the impact of their behavior on others. They may also misinterpret others' motivations and behaviors and develop significant distrust of others."
Personality disorders,"People have unique personalities made up of a complex combination of different traits. Personality traits affect how people understand and relate to the world around them, as well as how they see themselves."
Phenylketonuria (PKU),"Phenylketonuria (fen-ul-key-toe-NU-ree-uh), also called PKU, is a rare inherited disorder that causes an amino acid called phenylalanine to build up in the body. PKU is caused by a change in the phenylalanine hydroxylase (PAH) gene. This gene helps create the enzyme needed to break down phenylalanine."
Pheochromocytoma,"A pheochromocytoma can cause wild fluctuations in blood pressure with normal blood pressure in between spells. This can make the condition more difficult to detect. The graph shows a nine-day period of short, irregular bursts in blood pressure due to a pheochromocytoma. The lower points represent the bottom number of the reading (diastolic pressure). The higher points show the top number of the reading (systolic pressure). For example, the first burst in blood pressure is seen on day two with a reading of 250/110 millimeters of mercury."
Sacral dimple,A sacral dimple is an indentation or pit in the skin on the lower back that is present at birth in some babies. It's usually just above the crease between the buttocks. Most sacral dimples are harmless and don't need treatment.
Pinched nerve,"A pinched nerve occurs when too much pressure is applied to a nerve by surrounding tissues, such as bones, cartilage, muscles or tendons. This pressure can cause pain, tingling, numbness or weakness. "
Pineoblastoma,
Pituitary tumors,"Pituitary tumors are tumors that form in the pituitary gland near the brain. These tumors can cause changes in hormone levels. This illustration shows a smaller tumor, called a microadenoma."
Polycystic kidney disease,"A healthy kidney (left) eliminates waste from the blood and maintains the body's chemical balance. With polycystic kidney disease (right), fluid-filled sacs called cysts develop in the kidneys. The kidneys grow larger and gradually lose the ability to function as they should."
Plague,Plague is a serious illness caused by a germ called Yersinia pestis. The germs mostly live in small rodents and their fleas. The most common way for humans to get plague is a flea bite.
Plantar warts,"Plantar warts are caused by the same type of virus that causes warts on your hands and fingers. But, because of their location, they can be painful."
Pleurisy,"Pleurisy occurs when the pleural lining — two large, thin layers of tissue that separate your lungs from your chest wall — becomes inflamed, causing chest pain."
Primary lateral sclerosis (PLS),"Primary lateral sclerosis (PLS) is a type of motor neuron disease that causes the nerve cells in the brain that control movement to fail over time. PLS causes weakness in your voluntary muscles, such as those you use to control your legs, arms and tongue. You may experience movement problems, such as difficulty with balance, slow movements and clumsiness. You may eventually experience problems with chewing, swallowing and speaking."
Pneumonia,"Most pneumonia occurs when a breakdown in your body's natural defenses allows germs to invade and multiply within your lungs. To destroy the attacking organisms, white blood cells rapidly accumulate. Along with bacteria and fungi, they fill the air sacs within your lungs (alveoli). Breathing may be labored. A classic sign of bacterial pneumonia is a cough that produces thick, blood-tinged or yellowish-greenish sputum with pus."
Pneumonitis,"Pneumonitis (noo-moe-NIE-tis) is a general term that refers to inflammation of lung tissue. Technically, pneumonia is a type of pneumonitis because the infection causes inflammation. Pneumonitis, however, is usually used by doctors to refer to noninfectious causes of lung inflammation."
POEMS syndrome,POEMS syndrome is a rare blood disorder that damages your nerves and affects other parts of your body. POEMS stands for these signs and symptoms:
Poison ivy rash,Illustration of contact dermatitis on different skin colors. Contact dermatitis can appear as an itchy rash.
Polio,"Polio is an illness caused by a virus that mainly affects nerves in the spinal cord or brain stem. In its most severe form, polio can lead to a person being unable to move certain limbs, also called paralysis. It can also lead to trouble breathing and sometimes death. The disease also is called poliomyelitis."
Polyhydramnios,"In polyhydramnios, excessive amniotic fluid accumulates in the uterus during pregnancy. Mild cases of polyhydramnios may go away on their own. Severe cases may require treatment."
Polymyositis,"Polymyositis (pol-e-my-o-SY-tis) is an uncommon inflammatory disease that causes muscle weakness affecting both sides of your body. Having this condition can make it difficult to climb stairs, rise from a seated position, lift objects or reach overhead."
Porphyria,"Porphyria (por-FEAR-e-uh) refers to a group of rare disorders that result from a buildup of natural chemicals called porphyrins in the body. Porphyrins are needed to make heme, a part of hemoglobin. Hemoglobin is a protein in red blood cells. It carries oxygen to the body's organs and tissues."
Posterior cortical atrophy,Posterior cortical atrophy is a brain and nervous system syndrome that causes brain cells to die over time. It causes problems with eyesight and with processing visual information.
Posterior vaginal prolapse (rectocele),"A posterior vaginal prolapse, also known as a rectocele, occurs when the wall of tissue that separates the rectum from the vagina weakens or tears. When this happens, tissues or structures just behind the vaginal wall — in this case, the rectum — can bulge into the vagina."
Post-traumatic stress disorder (PTSD),"Post-traumatic stress disorder (PTSD) is a mental health condition that's triggered by a terrifying event — either experiencing it or witnessing it. Symptoms may include flashbacks, nightmares and severe anxiety, as well as uncontrollable thoughts about the event."
Post-vasectomy pain syndrome,"Vasectomy is a minor procedure that blocks the supply of sperm to the semen. It is a common form of male birth control that is done by cutting and sealing the tubes that carry sperm. The sperm, which can no longer reach the semen, are absorbed by the body."
Pouchitis,Pouchitis is inflammation that occurs in the lining of a pouch created during surgery to treat ulcerative colitis or certain other diseases. Many people with ulcerative colitis need to have their diseased colon removed and the bowel reconnected with a procedure called ileoanal anastomosis (J-pouch) surgery.
Prader-Willi syndrome,"Prader-Willi (PRAH-dur VIL-e) syndrome is a rare genetic disorder that results in a number of physical, mental and behavioral problems. A key feature of Prader-Willi syndrome is a constant sense of hunger that usually begins at about 2 years of age."
Wolff-Parkinson-White (WPW) syndrome,"In Wolff-Parkinson-White (WPW) syndrome, an extra electrical pathway between your heart's upper chambers and lower chambers causes a rapid heartbeat."
Premature birth,A premature birth means a baby is born too early. The birth takes place before the 37th week of pregnancy. A typical pregnancy lasts about 40 weeks.
Primary ovarian insufficiency,"Primary ovarian insufficiency occurs when the ovaries stop functioning as they should before age 40. When this happens, your ovaries don't produce typical amounts of the hormone estrogen or release eggs regularly. This condition is also called premature ovarian failure and often leads to infertility."
Presbyopia,"Presbyopia is the gradual loss of your eyes' ability to focus on nearby objects. It's a natural, often annoying part of aging. Presbyopia usually becomes noticeable in your early to mid-40s and continues to worsen until around age 65."
Prescription drug abuse,"Prescription drug abuse is the use of a prescription medicine in a way not intended by the prescriber. Prescription drug abuse, also called prescription drug misuse, includes everything from taking a friend's prescription painkiller for your backache to snorting or injecting ground-up pills to get high. Prescription drug abuse may become ongoing and compulsive, despite the negative consequences."
Preterm labor,Preterm labor occurs when regular contractions result in the opening of your cervix after week 20 and before week 37 of pregnancy.
Primary biliary cholangitis,"The bile ducts carry bile from your liver to your small intestine. When bile ducts become damaged, bile can back up into the liver, causing damage to liver cells. This damage can lead to liver failure."
Progressive supranuclear palsy,"Deterioration of cells in the brainstem, cerebral cortex, cerebellum and basal ganglia — a cluster of cells deep within your brain — is what causes the coordination and movement issues of progressive supranuclear palsy."
Prostatitis,"Prostatitis is a disorder of the prostate gland usually associated with inflammation. Prostatitis often causes painful or difficult urination, as well as pain in the groin, pelvic area or genitals. Bacterial infections cause some but not all cases of prostatitis."
Pseudogout,"Pseudogout (SOO-doe-gout) is a form of arthritis characterized by sudden, painful swelling in one or more of the joints. Episodes can last for days or weeks."
Psoriasis,"In psoriasis, the life cycle of your skin cells greatly accelerates, leading to a buildup of dead cells on the surface of the epidermis."
Pulmonary atresia,"In pulmonary atresia, the valve that lets blood flow from the heart to the lungs isn't formed properly. Instead, some blood may enter the lungs through a temporary connection (ductus arteriosus) between a baby's aorta and the pulmonary artery. Some babies born with pulmonary atresia may have a small right ventricle."
Pulmonary atresia with ventricular septal defect,
Pulmonary valve disease,Pulmonary valve disease affects the valve between the heart's lower right chamber and the artery that delivers blood to the lungs. That artery is called the pulmonary artery. The valve is called the pulmonary valve.
Pyloric stenosis,The pylorus is a muscular valve that holds food in the stomach until it is ready for the next stage in the digestive process.
Pyoderma gangrenosum,"Pyoderma gangrenosum can cause painful, open sores (ulcers) that have bluish, overhanging borders.
"
Radiation enteritis,Radiation enteritis is inflammation of the intestines that occurs after radiation therapy.
Tachycardia,"In tachycardia, an irregular electrical signal (impulse) starting in the upper or lower chambers of the heart causes the heart to beat faster."
Raynaud's disease,"Raynaud's (ray-NOSE) disease causes some areas of the body — such as fingers and toes — to feel numb and cold in response to cold temperatures or stress. In Raynaud's disease, smaller arteries that supply blood to the skin narrow. This limits blood flow to affected areas, which is called vasospasm."
Rectal prolapse,Rectal prolapse occurs when the rectum becomes stretched out and slips out of the anus.
Rectovaginal fistula,"A rectovaginal fistula is a connection that should not exist between the lower part of the large intestine — the rectum or anus — and the vagina. Bowel contents can leak through the fistula, allowing gas or stool to pass through the vagina."
Recurrent breast cancer,"Recurrent breast cancer is breast cancer that comes back after initial treatment. Although the initial treatment is aimed at eliminating all cancer cells, a few may have evaded treatment and survived. These undetected cancer cells multiply, becoming recurrent breast cancer."
Vesicoureteral reflux,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra."
REM sleep behavior disorder,"Rapid eye movement (REM) sleep behavior disorder is a sleep disorder in which you physically act out vivid, often unpleasant dreams with vocal sounds and sudden, often violent arm and leg movements during REM sleep — sometimes called dream-enacting behavior."
Renal artery stenosis,"In renal artery stenosis, one or both of the arteries leading to the kidneys becomes narrowed, preventing adequate blood flow to the kidneys."
Restless legs syndrome,"Restless legs syndrome (RLS) is a condition that causes an uncontrollable urge to move the legs, usually because of an uncomfortable sensation. It typically happens in the evening or nighttime hours when you're sitting or lying down. Moving eases the unpleasant feeling temporarily."
Retinal diseases,"The macula is located at the back of the eye in the center of the retina. A healthy macula allows for clear central vision. The macula is made up of densely packed light-sensitive cells called cones and rods. Cones give the eye color vision, and rods let the eye see shades of gray."
Retractile testicle,"A retractile testicle is a testicle that may move back and forth between the scrotum and the groin. When the retractile testicle is residing in the groin, it might be easily guided by hand into its proper position in the scrotum — the bag of skin hanging behind the penis — during a physical exam. Upon release, the testicle will remain in the proper position at least temporarily."
Reye's syndrome,"Reye's syndrome, also known as Reye syndrome, is a rare but serious condition that causes swelling in the liver and brain. Reye's syndrome can occur at any age but usually affects children and teenagers after a viral infection, most commonly the flu or chickenpox."
Rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is a rare type of cancer that forms in soft tissue — specifically skeletal muscle tissue or sometimes hollow organs such as the bladder or uterus. RMS can occur at any age, but it most often affects children."
Rheumatic fever,Rheumatic fever is an inflammatory disease that can develop when strep throat or scarlet fever isn't properly treated. Strep throat and scarlet fever are caused by an infection with streptococcus (strep-toe-KOK-us) bacteria.
Tinnitus,"Tinnitus can be caused by a number of things, including broken or damaged hair cells in the part of the ear that receives sound (cochlea); changes in how blood moves through nearby blood vessels (carotid artery); problems with the joint of the jaw bone (temporomandibular joint); and problems with how the brain processes sound."
Rosacea,"Changes typical of rosacea on white skin are redness of the cheeks, nose and central face, with small red bumps or pustules."
Rotator cuff injury,Rotator cuff injuries can range in severity from simple inflammation to complete tendon tears.
Rumination syndrome,"Rumination syndrome is a condition in which people repeatedly and unintentionally spit up (regurgitate) undigested or partially digested food from the stomach, rechew it, and then either reswallow it or spit it out."
Ruptured spleen,The spleen is located just under your rib cage on your left side. A ruptured spleen may release a large amount of blood into the stomach cavity.
Sacroiliitis,"The sacroiliac joints link the pelvis and lower spine. These two joints are made up of the bony structure above the tailbone, known as the sacrum, and the top part of the pelvis, known as the ilium. The sacroiliac joints support the weight of the upper body when standing.
"
Salivary gland tumors,"There are three pairs of major salivary glands — parotid, sublingual and submandibular. Each gland has its own tube (duct) leading from the gland to the mouth."
Sarcoidosis,"Sarcoidosis is a disease characterized by the growth of tiny collections of inflammatory cells (granulomas) in any part of your body — most commonly the lungs and lymph nodes. But it can also affect the eyes, skin, heart and other organs."
Sarcoma,Sarcoma is a type of cancer that can occur in various locations in your body.
Scabies,Scabies is caused by tiny mites that burrow into the skin.
Spontaneous coronary artery dissection (SCAD),Spontaneous coronary artery dissection — sometimes referred to as SCAD — is an emergency condition that occurs when a tear forms in a blood vessel in the heart.
Schizoaffective disorder,"Schizoaffective disorder is a mental health disorder that is marked by a combination of schizophrenia symptoms, such as hallucinations or delusions, and mood disorder symptoms, such as depression or mania."
Schizophrenia,"Schizophrenia is a serious mental disorder in which people interpret reality abnormally. Schizophrenia may result in some combination of hallucinations, delusions, and extremely disordered thinking and behavior that impairs daily functioning, and can be disabling."
Spinal cord injury,"A spinal cord injury — damage to any part of the spinal cord or nerves at the end of the spinal canal (cauda equina) — often causes permanent changes in strength, sensation and other body functions below the site of the injury."
Sciatica,"The sciatic nerves branches from your lower back through your hips and buttocks and down each leg.
"
Scleroderma,"Scleroderma (sklair-oh-DUR-muh), also known as systemic sclerosis, is a group of rare diseases that involve the hardening and tightening of the skin. It may also cause problems in the blood vessels, internal organs and digestive tract."
Sclerosing mesenteritis,The mesentery is a fold of membrane that attaches the intestine to the abdominal wall and holds it in place.
Scorpion sting,The bark scorpion is commonly found in the desert of the southwestern United States.
Scrotal masses,"Scrotal masses are lumps or swelling in the scrotum, the bag of skin that holds the testicles."
Tonic-clonic (grand mal) seizure,"A tonic-clonic seizure, previously known as a grand mal seizure, causes a loss of consciousness and violent muscle contractions. It's the type of seizure most people picture when they think about seizures."
Temporal lobe seizure,"Temporal lobe seizures begin in the temporal lobes of the brain. These areas process emotions and are important for short-term memory. Symptoms of a temporal lobe seizure may be related to these functions. Some people have odd feelings during the seizure, such as joy, deja vu or fear."
Seizures,"A seizure is a sudden, uncontrolled burst of electrical activity in the brain. It can cause changes in behavior, movements, feelings and levels of consciousness. Having two or more seizures at least 24 hours apart that don't have a known cause is considered to be epilepsy."
Selective IgA deficiency,"Selective IgA deficiency is an immune system condition in which you lack or don't have enough immunoglobulin A (IgA), a protein that fights infection (antibody). Most people with selective IgA deficiency don't have recurrent infections. However, some people who have IgA deficiency experience pneumonia, ear infections, sinus infections, allergies, asthma and diarrhea."
Separation anxiety disorder,"Separation anxiety is a normal stage of development for infants and toddlers. Young children often experience a period of separation anxiety, but most children outgrow separation anxiety by about 3 years of age."
Sexually transmitted diseases (STDs),"Sexually transmitted diseases (STDs) — or sexually transmitted infections (STIs) — are generally acquired by sexual contact. The bacteria, viruses or parasites that cause sexually transmitted diseases may pass from person to person in blood, semen, or vaginal and other bodily fluids."
Shaken baby syndrome,"Shaken baby syndrome is a serious brain injury resulting from forcefully shaking an infant or toddler. It's also known as abusive head trauma, shaken impact syndrome, inflicted head injury or whiplash shaken infant syndrome."
Shigella infection,"Shigella infection (shigellosis) is an intestinal infection caused by a family of bacteria known as shigella. The main sign of shigella infection is diarrhea, which often is bloody."
Short bowel syndrome,Short bowel syndrome is a condition in which your body is unable to absorb enough nutrients from the foods you eat because you don't have enough small intestine.
Sjogren's syndrome,Sjogren's (SHOW-grins) syndrome is a disorder of your immune system identified by its two most common symptoms — dry eyes and a dry mouth.
Sleep apnea,"Sleep apnea is a potentially serious sleep disorder in which breathing repeatedly stops and starts. If you snore loudly and feel tired even after a full night's sleep, you might have sleep apnea."
Sleep disorders,Sleep disorders are conditions that result in changes in the way that you sleep.
Sleep terrors (night terrors),"Sleep terrors are episodes of screaming, intense fear and flailing while still asleep. Also known as night terrors, sleep terrors often are paired with sleepwalking. Like sleepwalking, sleep terrors are considered a parasomnia — an undesired occurrence during sleep. A sleep terror episode usually lasts from seconds to a few minutes, but episodes may last longer."
Sleepwalking,"Sleepwalking — also known as somnambulism — involves getting up and walking around while in a state of sleep. More common in children than adults, sleepwalking is usually outgrown by the teen years. Isolated incidents of sleepwalking often don't signal any serious problems or require treatment. However, recurrent sleepwalking may suggest an underlying sleep disorder."
Small bowel cancer,"The small intestine, also known as the small bowel, runs from your stomach to your large intestine (colon). The small intestine has three sections: the duodenum, the jejunum and the ileum."
Small bowel prolapse (enterocele),"Small bowel prolapse (enterocele) occurs when muscles and tissues that hold the intestines (small bowel) in place inside the pelvic cavity weaken, causing the small bowel to descend and bulge into the vagina."
Smallpox,"Smallpox is a serious and often deadly viral infection. It's contagious — meaning it spreads from person to person — and can cause permanent scarring. Sometimes, it causes disfigurement."
Snoring,"Snoring is the hoarse or harsh sound that occurs when air flows past relaxed tissues in your throat, causing the tissues to vibrate as you breathe. Nearly everyone snores now and then, but for some people it can be a chronic problem. Sometimes it may also indicate a serious health condition. In addition, snoring can be a nuisance to your partner."
Soft palate cancer,"The soft palate is located in the upper portion of the back of the mouth, behind the teeth."
Solitary fibrous tumor,
Somatic symptom disorder,"Somatic symptom disorder is characterized by an extreme focus on physical symptoms — such as pain or fatigue — that causes major emotional distress and problems functioning. You may or may not have another diagnosed medical condition associated with these symptoms, but your reaction to the symptoms is not normal."
Specific phobias,"Specific phobias are an extreme fear of objects or situations that pose little or no danger but make you highly anxious. So you try to stay away from these things. Unlike the brief anxiety you may feel when giving a speech or taking a test, specific phobias are long-lasting. Without treatment, specific phobias tend to last a lifetime."
Spina bifida,"Spina bifida is a birth defect that occurs when the spine and spinal cord don't form properly. It's a type of neural tube defect. The neural tube is the structure in a developing embryo that eventually becomes the baby's brain, spinal cord and the tissues that enclose them."
Spinal cord tumor,Intramedullary tumors are growths that develop in the supporting (glial) cells within the spinal cord.
Spinal stenosis,Spinal stenosis happens when the space inside the backbone is too small. This can put pressure on the spinal cord and nerves that travel through the spine. Spinal stenosis occurs most often in the lower back and the neck.
Sprains,A sprain is a stretching or tearing of ligaments — the tough bands of fibrous tissue that connect two bones together in your joints. The most common location for a sprain is in your ankle.
Stage 4 prostate cancer,Stage 4 prostate cancer is cancer that begins in the prostate and spreads to nearby lymph nodes or to other areas of the body.
Stuttering,"Stuttering — also called stammering or childhood-onset fluency disorder — is a speech disorder that involves frequent and significant problems with normal fluency and flow of speech. People who stutter know what they want to say, but have difficulty saying it. For example, they may repeat or prolong a word, a syllable, or a consonant or vowel sound. Or they may pause during speech because they've reached a problematic word or sound."
Trigger finger,"Trigger finger makes a finger get stuck in a bent position. It may straighten suddenly with a snap. The fingers most often affected are the ring finger and the thumb, but the condition can affect any finger."
Stress incontinence,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra."
Subarachnoid hemorrhage,"A subarachnoid hemorrhage is bleeding in the space between the brain and the surrounding membrane (subarachnoid space). The primary symptom is a sudden, severe headache. Some people describe it as the worst headache they have ever felt. Along with having a headache, some people may experience:"
Suicide and suicidal thoughts,"Suicide, taking your own life, is a tragic reaction to stressful life situations — and all the more tragic because suicide can be prevented. Whether you're considering suicide or know someone who feels suicidal, learn suicide warning signs and how to reach out for immediate help and professional treatment. You may save a life — your own or someone else's."
Sun allergy,Sun allergy is a broad term. It describes several conditions that cause an itchy rash to form on the skin after being in sunlight or other sources of ultraviolet (UV) radiation. Polymorphous light eruption is the most common form of sun allergy.
Sunburn,"Sunburn is inflamed, painful skin that feels hot to the touch. It often appears within a few hours of being in the sun too long."
Supraventricular tachycardia,Supraventricular tachycardia (SVT) is as an irregularly fast or erratic heartbeat (arrhythmia) that affects the heart's upper chambers. SVT is also called paroxysmal supraventricular tachycardia.
Suspicious breast lumps,A breast lump is a growth of tissue that forms in the breast. Most breast lumps aren't dangerous. But it's key to have your doctor or other health care professional check them promptly.
Synovial sarcoma,
Syphilis,"Syphilis is a bacterial infection usually spread by sexual contact. The disease starts as a painless sore — typically on the genitals, rectum or mouth. Syphilis spreads from person to person via skin or mucous membrane contact with these sores."
Syringomyelia,"Syringomyelia develops when cerebrospinal fluid, which usually flows around the outside of your brain and spinal cord, collects inside your spinal cord and forms a fluid-filled cyst (syrinx)."
Systemic mastocytosis,Systemic mastocytosis (mas-to-sy-TOE-sis) is a rare disorder that results in too many mast cells building up in your body. A mast cell is a type of white blood cell. Mast cells are found in connective tissues throughout your body. Mast cells help your immune system function properly and normally help protect you from disease.
Tapeworm infection,A tapeworm is a parasite that can live and feed in human intestines. This is called a tapeworm infection.
Total anomalous pulmonary venous return (TAPVR),
Tay-Sachs disease,"Tay-Sachs disease is a rare genetic disorder passed from parents to child. It's caused by the absence of an enzyme that helps break down fatty substances. These fatty substances, called gangliosides, build up to toxic levels in the brain and spinal cord and affect the function of the nerve cells."
TMJ disorders,"TMJ disorders affect the temporomandibular joint, located on each side of your head in front of your ears. A soft cartilage disk acts as a cushion between the bones of the joint, so the joint can move smoothly."
TEN,"TEN causes large areas of blistering, peeling skin."
Tendinitis,Tendons are thick fibrous cords that attach muscle to bone. Overuse or strain on a joint can inflame tendons and result in tendinitis.
Thoracic outlet syndrome,"The thoracic outlet is the space between your collarbone (clavicle) and your first rib. This narrow passageway is crowded with blood vessels, nerves and muscles."
Thrombocytosis,Platelets are parts of the blood that help form blood clots. Thrombocytosis (throm-boe-sie-TOE-sis) is a disorder in which your body produces too many platelets.
Transient ischemic attack (TIA),A transient ischemic attack (TIA) is a temporary period of symptoms similar to those of a stroke. A TIA usually lasts only a few minutes and doesn't cause permanent damage.
Tongue cancer,"Tongue cancer is a type of cancer that starts as a growth of cells on the tongue. The tongue begins in the throat and extends into the mouth. It's made up of muscles and nerves that help with movement and function, such as taste. The tongue aids in speaking, eating and swallowing."
Tonsil cancer,Your tonsils are two oval-shaped pads in the back of your mouth. Your tonsils are part of your body's germ-fighting immune system.
Tourette syndrome,"Tourette (too-RET) syndrome is a disorder that involves repetitive movements or unwanted sounds (tics) that can't be easily controlled. For instance, you might repeatedly blink your eyes, shrug your shoulders or blurt out unusual sounds or offensive words."
Toxoplasmosis,Toxoplasmosis (tok-so-plaz-MOE-sis) is an infection with a parasite called Toxoplasma gondii. People often get the infection from eating undercooked meat. You can also get it from contact with cat feces. The parasite can pass to a baby during pregnancy.
Trachoma,"Trachoma (truh-KOH-muh) is a bacterial infection that affects your eyes. It's caused by the bacterium Chlamydia trachomatis. Trachoma is contagious, spreading through contact with the eyes, eyelids, and nose or throat secretions of infected people. It can also be passed on by handling infected items, such as handkerchiefs."
Transposition of the great arteries,"In transposition of the great arteries, the main arteries leading away from the heart — the aorta and the pulmonary artery — are switched, also called transposed."
Tricuspid valve disease,"A typical heart has two upper and two lower chambers. The upper chambers, the right and left atria, receive incoming blood. The lower chambers, the more muscular right and left ventricles, pump blood out of the heart. The heart valves, which keep blood flowing in the right direction, are gates at the chamber openings."
Tricuspid valve regurgitation,"In tricuspid valve regurgitation, shown in the heart on the right, the valve between the two right heart chambers (right ventricle and right atrium) doesn't close properly. As a result, blood flows backward into the right atrium. A typical heart is shown on the left."
Truncus arteriosus,"In truncus arteriosus, one large vessel comes out of the heart, instead of two separate ones. There's also usually a hole in the wall between the lower heart chambers, called the ventricles. The hole is called a ventricular septal defect. In truncus arteriosus, oxygen-rich blood, shown in red, and oxygen-poor blood, shown in blue, mix together. The mixed blood is shown in purple. It doesn't contain enough oxygen for the body's needs."
Tuberous sclerosis,"Tuberous sclerosis (TOO-bur-us skluh-ROH-sis), also called tuberous sclerosis complex (TSC), is an uncommon genetic disorder that causes tumors to develop in many parts of the body. These tumors are not cancer. Noncancerous tumors, also called benign tumors, are overgrowths of cells and tissue that are not expected. Symptoms vary widely, depending on where the growths develop and how big they get."
Ulnar wrist pain,"Ulnar wrist pain is pain on the side of your wrist opposite the thumb. This pain can vary, depending on the cause. It may worsen when you grip something or twist your wrist. Ulnar wrist pain can be hard to diagnose because it can be linked to many different types of injuries."
Ureteral cancer,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra."
Urethral stricture,"A urethral (u-REE-thrul) stricture involves scarring that narrows the tube that carries urine out of your body (urethra). A stricture restricts the flow of urine from the bladder and can cause a variety of medical problems in the urinary tract, including inflammation or infection."
Urinary tract infection (UTI),"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra."
Urine color,Regular urine color ranges from clear to pale yellow. But certain things can change the color.
Vaginal fistula,"A vaginal fistula is an unusual opening that develops between the vagina and another organ, such as the bladder, colon or rectum. Your health care provider might describe a vaginal fistula as a hole in the vagina that allows urine, gas or stool to pass through the vagina."
Varicocele,A varicocele is enlargement of the veins that transport oxygen-depleted blood away from the testicle.
Varicose veins,"Typically, veins return blood from the rest of the body to the heart. To return blood to the heart, the veins in the legs must work against gravity. Weakened valves, also called incompetent valves, within the veins might cause varicose veins. The weakened valves let blood pool in the veins instead of traveling to the heart. When blood pools in the veins, the veins become larger, making them show under the skin."
Vascular rings,
Ventricular tachycardia,"In ventricular tachycardia, an irregular electrical impulse starting in the lower chambers of the heart (ventricles) causes the heart to beat faster."
Vertebral tumor,"The spinal cord is housed within the spinal canal, a hollow chamber within the vertebrae (spinal canal). It extends from the base of the skull to the lower back."
Vocal cord paralysis,Vocal cord paralysis is a condition in which you can't control the movement of the muscles that control your voice. It happens when the nerve impulses to your voice box (larynx) are disrupted. This results in paralysis of the vocal cord muscles.
Whiplash,"Whiplash is a neck injury due to forceful, rapid back-and-forth movement of the neck, like the cracking of a whip."
Wilson's disease,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach."
Wrinkles,"Wrinkles, especially around the eyes, mouth and neck, are common with aging as the skin in these areas gets thinner, drier and less elastic."
Yips,"The yips are involuntary wrist spasms that occur most commonly when golfers are trying to putt. However, the yips also can affect people who play other sports — such as cricket, darts and baseball."
Zollinger-Ellison syndrome,The pancreas is a large organ that lies across your upper abdomen behind your stomach.
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
