,Disease,combined_symptoms
639,Sarcoma,lump that can felt through the skin may not painfulbone paina broken bone happens unexpectedly such with minor injury allabdominal painweight losssigns and symptom sarcoma include
640,Scabies,itch often severe and usually bad nightthin wavy tunnel make tiny blister bump the skinscabies symptom include
641,Schizoaffective disorder,delusion have false fix belief despite evidence the contraryhallucinations such hearing voice see thing that aren thereimpaired communication and speech be incoherentbizarre unusual behaviorsymptoms depression feel empty sad worthlessperiods manic mood with increase energy decrease need for sleep over several day behavior be out characterimpaired occupational academic social functioningproblems manage personal care include cleanliness physical appearanceschizoaffective disorder symptom may vary from person person people condition experience psychotic symptom hallucination delusion well mood either bipolar type episode mania sometimes depression depressive depression
642,Schizoid personality disorder,want alone and activity alone not want enjoy close relationship feel little any desire for sexual relationship take pleasure few activity any find hard express your emotion react may lack humor interested others you may cold toward others may the drive that make reach goal react praise criticism from others have schizoid personality disorder likely you
643,Schizophrenia,delusion these be false belief that not base reality for example you think you be harm harass certain gesture comment direct you have exceptional ability fame another person love with major catastrophe about occur delusion occur most people schizophrenia hallucination these usually involve see hearing thing don exist yet for the schizophrenia they full force and impact normal experience hallucination can any sens but voice common hallucination disorganize think speech disorganize infer from disorganize speech effective communication impaired answer question may partially completely unrelated rarely speech include put together meaningless word can understood sometimes know word salad extremely abnormal motor behavior this show number way childlike silliness unpredictable agitation behavior isn focus goal hard task resistance instruction inappropriate bizarre posture complete lack response useless excessive movement negative symptom this refers reduce function normally neglect personal hygiene appear emotion doesn make eye contact doesn change facial expression speaks monotone also lose interest everyday activity socially withdraw experience pleasure schizophrenia involves range problem cognition behavior emotion sign symptom vary delusion hallucination speech reflect impaired function symptom include
644,Schizotypal personality disorder,be loner and lack close friend outside the immediate familyflat emotion limited inappropriate emotional responsespersistent excessive social anxietyincorrect interpretation event such feel that something actually harmless inoffensive have direct personal meaningpeculiar eccentric unusual think belief mannerismssuspicious paranoid thought constant doubt about loyalty othersbelief special power mental telepathy superstitionsunusual perception sense absent person presence have illusionsdressing peculiar way appear unkempt wear oddly match clothespeculiar style speech vague pattern speak ramble during conversationsschizotypal personality disorder typically include five more these sign symptom
645,Sciatica,sudden severe pain the low back leg and numbness muscle weakness legpain after violent injury such traffic accidenttrouble control bowel bladdersciatica can almost anywhere along nerve pathway especially likely follow path from buttock thigh calf
646,Scleroderma,heartburndifficulty swallowingbloatingdiarrheaconstipationfecal incontinencescleroderma sign and symptom vary from person person depend which part the body be affected
647,Sclerosing mesenteritis,mesenterysymptoms sclerosing mesenteritis include pain your belly vomit bloating diarrhea and fever sometimes people don have any symptom
648,Scoliosis,uneven shoulder one shoulder blade that appear more prominent than the other uneven waist one hip high other one side rib cage jutting forward prominence one back when bending forward symptom scoliosis may include
649,Scorpion sting,pain which can intensenumbness and tinglingslight swellingwarmthsigns symptom the site scorpion sting may include
650,Scrotal masses,unusual lump sudden pain dull ache feel heaviness the scrotum pain that spread all over groin stomach area low back tender swollen harden testicle epididymis ep ih do uh miss the soft comma shape tube above and behind store transport sperm swell scrotum change color skin scrotum upset vomit the male reproductive system make move sperm testicle produce fluid from seminal vesicle prostate gland combine with sperm make semen penis ejaculate semen during sexual intercourse
651,Seborrheic dermatitis,flake skin dandruff your scalp hair eyebrow beard mustachepatches greasy cover with flaky white yellow scale crust the face side nose ear eyelid chest armpit groin area under breastsrash that may look darker lighter people brown black and redder those skinring shape annular rash for type call petaloid seborrheic dermatitisitchiness pruritus seborrheic dermatitis sign symptom include
652,Seizures,temporary confusion star spell jerking movement the arm and leg that can control loss consciousness awareness cognitive emotional change they may include fear anxiety feel you already live this moment know deja vu symptom vary base type seizure also can range from mild severe seizure symptom include
653,Self-injury/cutting,scar often pattern fresh cut scratch bruise bite mark other wound excessive rub area create burn keep sharp object item use for self injury hand wear long sleeve pant hide self injury even hot weather frequent report accidental injury difficulty relationship with others behavior and emotion that change quickly be impulsive intense unexpected talk helplessness hopelessness worthlessness symptom may include
654,Separation anxiety disorder,recurrent and excessive distress about anticipate be away from home love onesconstant worry lose parent other one illness disasterconstant that something bad will happen such lose kidnap cause separation parent onesrefusing because fear separationnot want alone without the housereluctance refuse sleep nearbyrepeated nightmare separationfrequent complaint headache stomachache symptom when anticipatedseparation anxiety disorder diagnose be for developmental age cause significant daily function symptom may include
655,Sexually transmitted diseases (STDs),sore bump the genitals oral rectal areapainful burning urinationdischarge from penisunusual odorous vaginal dischargeunusual bleedingpain during sexsore swollen lymph node particularly groin but sometimes more widespreadlower abdominal painfeverrash over trunk hand feetstds stis can have range sign and symptom include symptom that why they may go unnoticed until complication occur partner diagnose
656,Shaken baby syndrome,extreme fussiness irritabilitydifficulty stay awakebreathing problemspoor eatingvomitingpale bluish skinseizuresparalysiscomashaken baby syndrome symptom and sign include
657,Shellfish allergy,hivesitchy irritated skinnasal stuffiness congestion swell the lip face tongue and throat other part bodywheezing trouble breathingcoughing choke tight feel throatbelly abdominal pain diarrhea nausea vomitingdizziness lightheadedness faintingshellfish allergy symptom generally start within minute hour after eat have contact with shellfish they may include
658,Shigella infection,diarrhea often contain blood mucus stomach pain crampsfevernausea vomitingsigns and symptom shigella infection usually begin day two after contact with shigella but may take week develop sign include
659,Short bowel syndrome,diarrheagreasy foul smell stoolsfatigueweight lossmalnutritionswelling edema the low extremitiescommon sign and symptom short bowel syndrome may include
660,Sjogren's syndrome,dry eye your eye might burn itch feel gritty there sand them dry mouth your mouth like full cotton make difficult swallow speak there be three pair major salivary gland parotid sublingual and submandibular each gland have it own tube duct lead from the mouth
661,Skin cancer,pearly waxy bumpa flat flesh color brown scar like lesiona bleeding scabbing sore that heals and returnsbasal cell carcinoma type skin cancer most often develops area expose the sun such face white skin basal look like bump that skin color pink
662,Sleep apnea,loud snore episode which you stop breathing during sleep would report another person gasp for air sleep awaken with dry mouth morning headache difficulty stay asleep know insomnia excessive daytime sleepiness hypersomnia difficulty pay attention while awake irritability the symptom obstructive and central apnea overlap sometimes make difficult determine type have the most common include
663,Sleep disorders,book mayo clinic family health book th editionnewsletter letter digital editionsymptoms sleep disorder include be very sleepy during the daytime and have trouble fall asleep night some people may fall inappropriate time such while drive other symptom breathing unusual pattern feel uncomfortable urge move you be try asleep unusual bothersome movement experience also possible have irregular wake cycle another symptom disorder
664,Sleep terrors (night terrors),begin with frighten scream shoutsit bed and appear frightenedstare wide eyedsweat breathe heavily have race pulse flush face dilate pupilskick thrashbe hard awaken confuse awakenedbe inconsolablehave little memory the event next morningpossibly get out run around house aggressive behavior block restrainedsleep terror differ from nightmare the dreamer nightmare wake dream may remember detail but person who have sleep terror episode remains asleep child usually don anything about their morning adult recall fragment they have during terror
665,Sleepwalking,get out bed and walk aroundsit open his her eyeshave glaze glassy eyed expressionnot respond communicate with othersbe difficult wake during episodebe disorient confuse for short time after be awakenednot remember the episode morninghave problem function day because disturbed sleephave sleep terror addition sleepwalkingsleepwalking usually occurs early night often one two hour fall asleep unlikely occur nap sleepwalk can rarely often generally last several minute but last longer
666,Small bowel cancer,abdominal painyellowing the skin and white eye jaundice feel unusually weak tirednauseavomitinglosing weight without tryingblood stool which might appear red blackwatery diarrheaskin flushingsigns symptom small bowel cancer include
667,Small bowel prolapse (enterocele),pull sensation your pelvis that eas when you lie downa feel pelvic fullness pressure painlow back pain soft bulge tissue vaginavaginal discomfort and painful intercourse dyspareunia mild small bowel prolapse may produce sign symptom however have significant prolapse might experience
668,Smallpox,fevermuscle achesheadachesevere fatiguesevere back painvomiting sometimesthese be smallpox sore the skin this photograph be take bangladesh
669,Snoring,witness breathing pause during sleepexcessive daytime sleepinessdifficulty concentratingmorning headachessore throat upon awakeningrestless sleepgasping choke nighthigh blood pressurechest pain nightyour snore loud disrupt your partner sleepin child poor attention span behavioral issue performance schoolsnoring often associate with sleep disorder call obstructive apnea osa not all snorer have osa but accompany any the follow symptom may indication see doctor for far evaluation osa
670,Social anxiety disorder (social phobia),fear situation which you may judged negativelyworry about embarrass humiliate yourselfintense fear interact talk with strangersfear that others will notice look anxiousfear physical symptom cause embarrassment such blushing sweat tremble have shaky voiceavoidance do thing speak people out embarrassmentavoidance where might the center attentionanxiety anticipation fear activity eventintense anxiety during social situationsanalysis your performance and identification flaw interaction after situationexpectation bad possible consequence from negative experience situationfeelings shyness discomfort certain aren necessarily sign disorder particularly child comfort level vary depend personality trait life experience some be naturally reserve more outgo
671,Soft palate cancer,bleedingdifficulty swallowingdifficulty speakingbad breathmouth painsores your mouth that won healloose teethpain when you swallowweight lossear painswelling neck may hurtwhite patch go awaysome sign and symptom soft palate cancer can include the follow
672,Soft tissue sarcoma,noticeable lump swell pain the growth press nerve muscle soft tissue sarcoma may not cause any symptom first cancer grows cause
673,Somatic symptom disorder,specific sensation such pain shortness breath more general symptom fatigue weaknessunrelated any medical cause that can identify related condition cancer heart disease but significant than what usually expecteda single symptom multiple symptom vary symptomsmild moderate severesymptoms somatic symptom disorder may
674,Specific phobias,situation such airplane drive enclose space go school nature thunderstorm height the dark animal insect dog snake spider blood shot injury needle accident medical procedure others choke throw loud noise clown specific phobia involves strong last fear certain object situation that much great than actual risk there be many type phobia common have about more one situation specific phobia also can happen along with other anxiety disorder
675,Spina bifida,spina bifida occulta typically there aren any sign symptom because the spinal nerve involve but you can sometimes see newborn skin above problem include tuft hair small dimple birthmark sometimes these mark underlie cord issue that discover withmrior ultrasound newborn meningocele this type may cause problem with bladder and bowel function myelomeningocele this severe spina bifida the canal remains open along several vertebra low middle backboth membrane protrude birth form sactissues usually be expose though cover sacsigns vary severity also between individual
676,Spinal cord injury,complete all feel sensory and ability control movement motor function be lose below the spinal cord injury your injury call complete incomplete you have some motor sensory function affected area incomplete there vary degree incomplete injury paralysis low half body paraplegia paralysis neck include both arm leg quadriplegia
677,Spinal cord tumor,pain the site tumor due growthback pain often radiate other part your bodyfeeling less sensitive heat and coldloss bowel bladder functiondifficulty walk sometimes lead fallsback pain that bad nightloss sensation muscle weakness especially arm legsmuscle weakness which may mild severe different bodyspinal cord tumor can cause sign symptom grow the affect spinal nerve root blood vessel bone spine sign symptom include
678,Spinal headaches,dull throb pain that varies intensity from mild very severepain typically get bad when you sit stand and decrease go away lie downspinal headache symptom include
679,Spinal stenosis,numbnesstingling weakness hand leg foot armproblems with walk and balanceneck painproblems the bowel bladderspinal stenosis often cause symptom when symptom occur they start slowly get bad over time symptom depend which part spine affected
680,Spontaneous coronary artery dissection (SCAD),chest paina rapid heartbeat fluttery feel the chestpain arm shoulder back jawshortness breathsweatingunusual extreme tirednessnauseadizzinesssymptoms scad can include
681,Sprained ankle,pain especially when you bear weight the affected foottenderness touch ankleswellingbruisingrestricted range motioninstability anklepopping sensation sound time injurysigns and symptom sprain ankle vary depend severity injury they may include
682,Sprains,painswellingbruisinglimited ability move the affected jointhearing feel pop your joint time injurya sprain ankle stretch tear ligament which support connect bone each other
683,Squamous cell carcinoma of the skin,firm bump the skin call nodule the nodule might same color look different can pink red black brown depend skin color flat sore with scaly crust new raise area old scar sore rough patch lip that may become open rough inside mouth wartlike anus genitals squamous cell carcinoma most often occurs sun expose skin this include scalp back hand ear lip but occur anywhere body even mouth bottom foot genitals when squamous happens people black and brown tends happen place aren expose sun
684,Stage 4 prostate cancer,painful urinationdecreased force the stream urineblood semenbone painswelling legsfatiguesigns and symptom stage prostate cancer may include
685,Stomach cancer,trouble swallowingbelly painfeeling bloat after eatingfeeling full eat small amount foodnot feel hungry when you would expect hungryheartburnindigestionnauseavomitinglosing weight without tryingfeeling very tiredstools that look blacksigns and symptom stomach cancer may include
686,Stress incontinence,cough sneezelaughbend overlift something heavyexercisehave sexif you have stress incontinence may leak urine when you
687,Stroke,trouble speak and understand what others be say you may experience confusion slur word have difficulty speech paralysis numbness the face arm leg you develop sudden numbness weakness paralysis leg this often affect just one side body try raise both your arm over head same time begin fall you have stroke also mouth droop when try smile problem see eye you suddenly blur blacken vision eye see double headache sudden severe headache which accompany vomit dizziness alter consciousness indicate that you stroke trouble walk you stumble lose balance you also loss coordination someone with stroke pay particular attention time symptom begin some treatment option most effective give soon after stroke begin
688,Stuttering,difficulty start word phrase sentenceprolonging word sound within wordrepetition sound syllable wordbrief silence for certain syllable word pause broken word addition extra word such um difficulty move the next anticipatedexcess tension tightness movement face upper body produce wordanxiety about talkinglimited ability effectively communicatestuttering sign and symptom may include
689,Sudden cardiac arrest,sudden collapse pulse breathing loss consciousness symptom sudden cardiac arrest be immediate and severe include
690,Suicide and suicidal thoughts,talk about suicide for example make statement such go kill myself wish be dead hadn be born get the mean take your own life buying gun stockpile pillswithdrawing from social contact and want left alonehaving mood swing be emotionally high one day deeply discourage nextbeing preoccupy with death die violencefeeling trap hopeless situationincreasing use alcohol drugschanging normal routine include eat sleep patternsdoing risky self destructive thing use drug drive recklesslygiving away belonging get affair order when there other logical explanation do thissaying goodbye people they won see againdeveloping personality change severely anxious agitate particularly experience some warn sign list abovesuicide suicidal thought include
691,Sun allergy,itchiness pruritus stingingtiny bump that may merge into raise patchesa flush the expose areablisters hivespolymorphous light eruption rash affect part body be more sunlight daylight hour get longer such front neck and chest polymorphous mean can have many form tiny bump area blister
692,Sunburn,inflame skin which look pink red white skin and may harder see brown black skinskin that feel warm hot the touchpain tenderness itchingswellingsmall fluid fill blister breakheadache fever nausea fatigue sunburn severeeyes feel painful grittysunburn symptom can include
693,Supraventricular tachycardia,very fast rapid heartbeata flutter pound the chest palpitation sensation neckweakness feel very tire fatigue chest painshortness breathlightheadedness dizzinesssweatingfainting syncope near faintingthe main symptom supraventricular tachycardia svt heartbeat beat minute more that may last for few minute day the come and go suddenly with stretch typical heart rate between
694,Suspicious breast lumps,round smooth and firm breast lump large solid feel lump that move easily under the skin hard with unusual shape area skin have change color look red skin dimple like orange change size shape fluid leak from nipple breast tissue typically might feel lumpy ropy you also may have tenderness come go your menstrual period
695,Swimmer's itch,spending time water that infest with certain parasite forget dry off towel after get out the water be sensitive parasite that cause swimmer itch swimmer itch symptom include itchy rash look like pimple blister symptom may begin within minute long two day swim wad contaminate water
696,Syphilis,mayo clinic minute sign and symptom syphilisprimary syphilis cause painless sore chancre the genitals rectum tongue lip the disease can present with appearance single chancre show here penis many
697,Syringomyelia,muscle weakness and waste atrophy loss reflexesloss sensitivity pain temperatureheadachesstiffness your back shoulder arm legspain neck backspinal curvature scoliosis syringomyelia symptom usually develop slowly over time syringomyelia cause protrusion brain tissue into spinal canal chiari malformation generally begin between age
698,Systemic mastocytosis,flush itch hivesabdominal pain diarrhea nausea vomitinganemia bleeding disordersbone and muscle painenlarged liver spleen lymph nodesdepression mood change problem concentratingsigns symptom systemic mastocytosis depend the part body affected excessive mast cell too many cell can build skin spleen bone marrow intestine less commonly other organ such brain heart lung also may affected
699,TEN,widespread skin paina spread rash cover more than the bodyblisters and large area peel skinsores swell crust mucous membrane include mouth eye vaginatoxic epidermal necrolysis sign symptom include
700,TMJ disorders,pain tenderness your jawpain one both the temporomandibular jointsaching pain and around eardifficulty chew while chewingaching facial painlocking joint make difficult open close mouthsigns symptom tmj disorder may include
701,Tachycardia,sensation race pound heartbeat flop the chest palpitation chest painfainting syncope lightheadednessrapid pulse rateshortness breathwhen heart beat too fast may not pump enough blood rest body result organ and tissue get oxygen
702,Tapeworm infection,upset stomach feel like you could throw stomachache stomach pain not want eat loose stool diarrhea weight loss gas hunger pain craving for salty food symptom depend mostly where the infection happens body
703,Tay-Sachs disease,exaggerated startle response when the baby hears loud noise cherry red spot eyesloss motor skill include turn over crawl and sit upmuscle weakness progress paralysismovement problemsseizuresvision loss blindnesshearing deafnessproblems swallowingloss mental function lack surroundingsgrowth head size progressive macrocephaly there be three form tay sachs disease infantile juvenile late onset adult
704,Teen depression,feeling sadness which can include cry spell for apparent reasonfrustration feeling anger even over small mattersfeeling hopeless emptyirritable annoyed moodloss interest pleasure usual activitiesloss conflict with family and friendslow self esteemfeelings worthlessness guiltfixation past failure exaggerated self blame self criticismextreme sensitivity rejection failure the need excessive reassurancetrouble think concentrate make decision remember thingsongoing sense that life future be grim bleakfrequent thought death die suicideteen depression sign symptom change from teenager previous attitude behavior cause significant distress problem school home social activity other area life
705,Temporal lobe seizure,sudden sense fear joy feel that what happen have happen before know deja vu strange odor taste rise sensation the belly similar be roller coaster unusual aura may happen before temporal lobe seizure act warn not everyone who seizure aura and not aura remembers them
706,Tendinitis,pain often described dull ache especially when move the hurt limb jointtendernessmild swellingsymptoms tendinitis tend occur where tendon attache bone symptom include
707,Tennis elbow,shake hand grip objectturn doorknobhold coffee cupthe pain associate with tennis elbow may radiate from the outside your into forearm and wrist pain weakness make difficult
708,Tension headache,dull ache head painsensation tightness pressure across the forehead side and back headtenderness scalp neck shoulder musclessigns symptom tension type headache include
709,Testicular cancer,lump swell either testiclea feel heaviness the scrotuma dull ache low belly groinsudden scrotumpain discomfort testicle scrotumenlargement tenderness breast tissueback painpain lump your groin area may sign symptom testicular cancer other medical condition require treatment
710,Tetanus,painful muscle spasm and stiff immovable muscle muscle rigidity your jawtension around lip sometimes produce persistent grinpainful rigidity neck musclesdifficulty swallowingrigid abdominal musclesthe average time from infection appearance sign symptom incubation period day the incubation period can range
711,Tetralogy of Fallot,bluish coloration the skin cause low blood oxygen level cyanosis shortness breath and rapid breathing especially during feed exercisepoor weight gaintiring easily play exerciseirritabilityprolonged cryingheart murmurfaintingan abnormal round shape nail bed finger toe club tetralogy fallot symptom vary depend amount flow that block sign may include
712,Thoracic aortic aneurysm,back pain cough weak scratchy voice shortness breath tenderness pain the chest thoracic aortic aneurysm often grow slowly there be usually symptom make them difficult detect many start small and stay small others big over time how quickly thoracic aneurysm may predict
713,Thoracic outlet syndrome,neurogenic neurologic thoracic outlet syndrome this most common type syndrome characterize compression the brachial plexus the plexus network nerve that come from your spinal cord and control muscle movement sensation shoulder arm hand venous occurs when one more vein under collarbone clavicle be compress result blood clot arterial least oftos artery bulge artery also know aneurysm there three general type syndrome
714,Throat cancer,coughchanges your voice such hoarseness not speak clearlydifficulty swallowingear paina lump sore that doesn heala throatweight losssigns and symptom throat cancer may include
715,Thrombocytopenia,easy excessive bruising purpura superficial bleeding into the skin that appear rash pinpoint size reddish purple spot petechia usually low legsprolonged from cutsbleeding your gum noseblood urine stoolsunusually heavy menstrual flowsfatigueenlarged spleenbleeding look like tiny spot also know petechia petechia might look rash here they appear leg and stomach area b
716,Thrombocytosis,headache confusion change speech chest pain shortness breath and nausea weakness burning pain the hand foot people with high platelet level often don have sign symptom when symptom occur they related blood clot example include
717,Thumb arthritis,swell stiffness and tenderness the base your thumbdecreased strength when pinch grasp objectsdecreased range motionenlarged bony appearance joint thumbpain first most common symptom thumb arthritis pain can occur you grip grasp pinch object use apply force
718,Thunderclap headaches,strike suddenly and severelypeaks within secondscan accompany nausea vomitingthunderclap headache be dramatic symptom include pain that
719,Thyroid cancer,lump nodule that can felt through the skin your necka feel close fitting shirt collar be become too tightchanges voice include increase hoarsenessdifficulty swallowingswollen lymph node neckpain neck and throatthe thyroid gland locate base neck just below adam apple
720,Tinnitus,buzzingroaringclickinghissinghummingtinnitus most often described ring the ear even though external sound present however tinnitus can also cause other type phantom noise your include
721,Tongue cancer,red white patch the tongue line mouth sore throat that doesn go away feel something caught throat numbness mouth tongue difficulty pain with chew swallow move jaw tongue swell jaw change voice tongue cancer might not cause symptom first sometimes found doctor dentist who examines for sign part checkup
722,Tongue-tie (ankyloglossia),difficulty lift the tongue upper teeth move from side sidetrouble stick out past low front teetha that appear notch heart shape when stuck outsigns and symptom tongue tie include
723,Tonic-clonic (grand mal) seizure,tonic phase loss consciousness occurs the muscle suddenly contract and cause the person fall down this phase tends last about second clonic phase the go into rhythmic contraction they alternately flex relax convulsion usually minute less tonic clonic seizure have two stage
724,Tonsil cancer,difficulty swallowinga sensation that something caught the back your throatswelling and pain neckearachejaw stiffnesssigns symptom tonsil cancer include
725,Tourette syndrome,simple tic these sudden brief and repetitive tic involve limited number muscle group complex distinct coordinate pattern movement several group tic brief intermittent sound be the hallmark sign tourette syndrome they can range from mild severe severe symptom might significantly interfere with communication daily function quality life
726,Toxic hepatitis,yellow the skin and white eye jaundice itchingabdominal pain upper right portion abdomenfatigueloss appetitenausea vomitingrashfeverweight lossdark tea color urinemild form toxic hepatitis may not cause any symptom detect only blood test when sign occur they include
727,Toxoplasmosis,fever swollen lymph node that may last for week headache muscle ache skin rash most people infect with toxoplasmosis not have any symptom they often don know they infect some flu like symptom include
728,Trachoma,mild itch and irritation the eye eyelidseye discharge contain mucus puseyelid swellinglight sensitivity photophobia eye paineye rednessvision losssigns symptom trachoma usually affect both may include
729,Transient ischemic attack (TIA),weakness numbness paralysis the face arm leg typically one side bodyslurred garble speech difficulty understand othersblindness both eye double visionvertigo loss balance coordinationtransient ischemic attack usually last few minute most sign and symptom disappear within hour though rarely may hour the tia resemble those found early stroke include sudden onset
730,Transposition of the great arteries,blue gray skin depend the baby skin color these color change may harder easy see weak pulse lack appetite poor weight gain transposition great artery tga see baby before birth during routine pregnancy ultrasound
731,Trichotillomania (hair-pulling disorder),repeatedly pull your hair out typically from scalp eyebrow eyelash but sometimes other body area and site may vary over timean increase sense tension before pull when you try resist pullinga pleasure relief after the pullednoticeable loss such shorten thin bald area scalp body include sparse miss eyelash eyebrowspreference for specific type hair ritual that accompany pattern pullingbiting chew eat pull out hairplaying with rub across lip facerepeatedly try stop out less often without successsignificant distress problem work school social situation related hairsigns symptom trichotillomania include
732,Tricuspid valve regurgitation,fatigueirregular heart rhythm arrhythmia pulse the neckshortness breath with activityswelling belly area abdomen leg neck veinstricuspid valve regurgitation often doesn cause sign symptom until condition severe the may discover when test be do for other reason
733,Trigeminal neuralgia,episode severe shoot jabbing pain that may feel like electric shockspontaneous attack trigger thing such touch the face chew speak brushing teethattacks last from few second several minutespain occurs with facial spasmsbouts multiple day week month longer some people have period when they experience painpain area supply trigeminal nerve include cheek jaw teeth gum lip less often eye and foreheadpain affect one side face timepain focus spot spread wider patternpain rarely occur night while sleepingattacks become more frequent intense over timetrigeminal neuralgia result area three branch nerve
734,Trigger finger,finger stiffness particularly the morning pop click sensation finger move tenderness bump palm base affected finger finger catch lock bent position which suddenly pop straight finger lock position symptom trigger may progress from mild severe and include
735,Truncus arteriosus,blue gray skin due low oxygen level excessive sleepiness poor feed poor growth pound heartbeat fast breathing shortness breath symptom truncus arteriosus usually occur the first few day life they include
736,Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat appetite mild yellow eye swell lymph node malaise phlegm chest pain blood sputum
737,Tuberous sclerosis,skin change skin change be most common these include patch lighter skin and small area thicken smooth bumpy skin the forehead can have raise discolor area small soft bump under around nail may occur growth face that start childhood look like acne common seizure growth brain link with seizure seizure often first symptom tuberous sclerosis child common type call infantile spasm involves stiffen arm leg arch back head problem think reason learn tuberous sclerosis result developmental delay sometimes limit ability think reason learn mental health condition such autism spectrum disorder attention deficit hyperactivity adhd also occur behavior problem common behavior problem hyperactivity self injury aggression issue social emotional adjustment kidney problem growth kidney common more growth develop age heart issue growth heart present usually large birth shrink child get old lung lung cause cough trouble breathing especially physical activity exercise lung tumor occur female than male eye appear white light sensitive tissue eye retina don interfere vision dental change teeth pit surface gum inside cheek tongue tuberous symptom cause noncancerous part body commonly skin brain eye kidney heart lung but any part body affected symptom range from mild severe depend size location growth
738,Type 1 diabetes,feel more thirsty than usualurinating lotbed wet child who have never wet the bed during nightfeeling very hungrylosing weight without tryingfeeling irritable have other mood changesfeeling tire and weakhaving blurry visiontype diabetes symptom can appear suddenly may include
739,Type 1 diabetes in children,increase thirstfrequent urination possibly bed wet toilet train childextreme hungerunintentional weight lossfatigueirritability behavior changesfruity smell breaththe sign and symptom type diabetes child usually develop quickly may include
740,Type 2 diabetes,increase thirst frequent urination increase hunger unintended weight loss fatigue blur vision slow heal sore frequent infection numbness tingle the hand foot area darken skin usually armpit and neck symptom type diabetes often develop slowly fact you can living with for year not know when symptom be present they may include
741,Type 2 diabetes in children,increase thirstfrequent urinationincreased hungerfatigueblurry visiondarkened area skin most often around the neck armpit and groinunintended weight loss although this less common child with type diabetes than diabetesfrequent infectionstype may develop gradually that there be noticeable symptom sometimes disorder diagnose during routine check
742,Typhoid,chill vomit fatigue high fever nausea constipation abdominal pain diarrhoea toxic look typhos belly headache
743,Ulcerative colitis,diarrhea often with blood pusrectal bleeding passing small amount stoolabdominal pain and crampingrectal painurgency defecateinability defecate despite urgencyweight lossfatiguefeverin child failure growulcerative colitis symptom can vary depend the severity inflammation where occurs sign may include
744,Undescended testicle,retractile testicle which move back and forth between the scrotum groin the testicle might easily guide hand into during physical exam due muscle reflex scrotum ascend have return can scrotum another name for this acquire undescended testicle not see feel main symptom testicle
745,Undifferentiated pleomorphic sarcoma,grow lump area swellingif grows very large there may pain tingle and numbnessif occurs arm leg swell the hand foot affected limbif abdomen loss appetite constipationfeverweight lossundifferentiated pleomorphic sarcoma symptom depend where cancer occurs most often happens arm leg but can happen anywhere body
746,Ureteral cancer,blood urineback painpain when urinatinglosing weight without tryingfatiguesigns and symptom ureteral cancer include
747,Ureteral obstruction,painchanges how much urine you produce urine output difficulty urinatingblood the urineurinary tract infectionshigh blood pressure hypertension ureteral obstruction might have sign symptom sign and symptom depend where occurs whether partial complete quickly develops affect one both kidney
748,Urethral stricture,decrease urine streamincomplete bladder emptyingspraying the streamdifficulty strain pain when urinatingincreased urge urinate more frequent urinationurinary tract infectionsigns and symptom urethral stricture include
749,Urinary incontinence,stress incontinence urine leak when you exert pressure your bladder cough sneeze laugh exercise lift something heavy urge incontinence you have sudden intense urge urinate follow involuntary loss urine you may need often include throughout the night urge incontinence cause minor condition such infection more severe condition neurological disorder diabetes overflow experience frequent constant dribble urine due that doesn empty completely functional incontinence physical mental impairment keep from make toilet time for example arthritis not able unbutton pant quickly enough mixed than one type urinary most often this refers combination stress and incontinence many people occasional others lose small moderate amount frequently
750,Urinary tract infection,burning micturition bladder discomfort foul smell urine continuous feel
751,Urinary tract infection (UTI),strong urge urinate that doesn go awaya burning feel when urinatingurinating often and passing small amount urineurine look cloudyurine appear red bright pink cola color sign blood the urinestrong smell urinepelvic pain woman especially center pelvis around area pubic boneutis don always cause symptom when they may include
752,Urine color,red blue green orange dark brown cloudy white the regular color urine varies depends how much water you drink fluid dilute the yellow pigment urine more drink clearer your look when drink less becomes strong
753,Uterine fibroids,heavy menstrual bleedingmenstrual period last more than weekpelvic pressure painfrequent urinationdifficulty empty the bladderconstipationbackache leg painsmany woman who have fibroid don any symptom those that symptom can influence location size and number fibroid
754,Uterine prolapse,see feel tissue bulge out the vaginafeeling heaviness pull pelvisfeeling like bladder doesn empty all way when you use bathroomproblems with leak urine also call incontinencetrouble have bowel movement and need press vagina your finger help have movementfeeling you sit small ballfeeling vaginal rub clothingpressure discomfort pelvis low backsexual concern such though loosemild uterine prolapse common after childbirth generally cause symptom symptom moderate severe include
755,Vaginal cancer,unusual vaginal bleeding for example after intercourse menopausewatery dischargea lump mass your vaginapainful urinationfrequent urinationconstipationpelvic painthe ovary fallopian tube uterus cervix and vagina vaginal canal make the female reproductive system
756,Varicocele,pain dull ache pain discomfort more likely when stand late the day lie down often relief pain mass scrotum varicocele large enough like bag worm may visible above testicle small too small see but noticeable touch differently size testicle the affected testicle noticeably than other testicle infertility lead difficulty father child not all varicocele cause infertility usually occurs left side scrotum and produce sign symptom possible symptom include
757,Varicose veins,vein that be dark purple blueveins appear twist and bulge often appear like cord the legsspider vein thin red line weblike network blood vessel surface skin spider vein mild form varicose typically leg foot fatigue cramp bruising obesity swollen prominent calf
758,Vasculitis,feverheadachefatigueweight lossgeneral ache and painsgeneral sign symptom most type vasculitis include
